HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:38:19;992.79;992.25;10887;872;0;7000;14740;14.434;22.298;18.509;54.199;
2023-07-13;17:38:20;992.83;992.36;10887;872;0;7000;14740;14.436;22.296;18.539;54.234;
2023-07-13;17:38:21;993.28;992.37;10887;872;0;7000;14920;14.612;22.303;18.519;54.324;
2023-07-13;17:38:22;993.38;992.43;10887;872;0;7000;14960;14.652;22.309;18.519;54.355;
2023-07-13;17:38:23;993.17;992.25;10887;872;0;7000;14780;14.473;22.315;18.539;54.45;
2023-07-13;17:38:24;992.73;992.29;10887;872;0;7000;14929;14.62;22.314;18.519;54.478;
2023-07-13;17:38:25;992.99;992.42;10887;872;0;7000;14839;14.533;22.317;18.519;54.478;
2023-07-13;17:38:26;993.74;992.75;10887;872;0;7000;14670;14.373;22.337;18.519;54.601;
2023-07-13;17:38:27;993.76;992.76;10887;872;0;7000;15110;14.804;22.34;18.519;54.632;
2023-07-13;17:38:28;993.5;992.87;10887;872;0;7000;14740;14.443;22.348;18.519;54.693;
2023-07-13;17:38:29;993.2;992.84;10887;872;0;7000;14929;14.628;22.355;18.519;54.786;
2023-07-13;17:38:30;993.69;992.7;10887;872;0;7000;15059;14.753;22.365;18.539;54.819;
2023-07-13;17:38:31;993.5;992.79;10887;872;0;7000;14820;14.52;22.384;18.539;54.819;
2023-07-13;17:38:32;993.39;992.87;10887;872;0;7000;14950;14.649;22.38;18.529;54.849;
2023-07-13;17:38:33;993.63;992.87;10887;872;0;7000;14920;14.619;22.384;18.539;54.942;
2023-07-13;17:38:34;993.45;992.96;10887;872;0;7000;14910;14.611;22.4;18.529;55.033;
2023-07-13;17:38:35;993.64;993.03;10887;872;0;7000;14860;14.563;22.412;18.539;55.065;
2023-07-13;17:38:36;993.46;993.02;10887;872;0;7000;15160;14.857;22.421;18.539;55.096;
2023-07-13;17:38:37;993.52;993.14;10887;872;0;7000;14870;14.574;22.426;18.539;55.096;
2023-07-13;17:38:38;994.11;993.13;10887;872;0;7000;14889;14.593;22.439;18.529;55.156;
2023-07-13;17:38:39;994.15;993.2;10887;872;0;7000;14799;14.506;22.441;18.55;55.22;
2023-07-13;17:38:40;993.65;993.23;10887;872;0;7000;15070;14.772;22.454;18.539;55.28;
2023-07-13;17:38:41;993.53;993.1;10887;872;0;7000;15130;14.829;22.465;18.539;55.342;
2023-07-13;17:38:42;994.18;993.24;10887;872;0;7000;14929;14.634;22.463;18.539;55.342;
2023-07-13;17:38:43;994.11;993.1;10887;872;0;7000;15190;14.887;22.455;18.539;55.372;
2023-07-13;17:38:44;993.64;993.24;10887;872;0;7000;14790;14.497;22.469;18.539;55.403;
2023-07-13;17:38:45;993.61;993.27;10887;872;0;7000;14960;14.665;22.493;18.55;55.466;
2023-07-13;17:38:46;994.2;993.32;10887;872;0;7000;14990;14.695;22.486;18.539;55.526;
2023-07-13;17:38:47;994.19;993.24;10887;872;0;7000;14920;14.625;22.517;18.55;55.589;
2023-07-13;17:38:48;993.76;993.23;10887;872;0;7000;14990;14.693;22.523;18.55;55.589;
2023-07-13;17:38:49;993.91;993.47;10887;872;0;7000;14950;14.658;22.529;18.539;55.649;
2023-07-13;17:38:50;994.13;993.27;10887;872;0;7000;14940;14.645;22.518;18.55;55.681;
